id,supervisor_id,is_verified_rating,overall_score,score_academic,score_mentoring,score_wellbeing,score_stipend,score_resources,score_ethics,upvotes,downvotes,created_at,first_year_income
000653c3-e317-4ad8-b916-56f4d3a49a27,1816886a-eba0-44bc-9a79-2418ddbe9403,True,4.50,4.00,4.50,3.50,,,,1,0,2026-03-22 07:13:12.495655+00:00,
4345e6ab-078b-4fe7-ac44-c2cfd97894ee,1816886a-eba0-44bc-9a79-2418ddbe9403,True,4.50,5.00,4.00,,,,,1,0,2026-03-22 07:13:26.267247+00:00,
7c77af98-facd-41e4-85cd-ca2e12ccb975,a784543b-a1e2-459b-a120-bce9191326b1,False,2.50,4.00,1.00,3.00,,2.00,,0,0,2026-03-24 05:43:59.229864+00:00,
eef4da12-5891-4617-ba1c-4c7b9ef4cae5,a92ae728-1991-4c11-ba15-38a88122d8b0,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.229868+00:00,
59febfb2-9be2-44dd-be8f-781b97e48a02,e9f93e64-afb1-4cdb-b44c-2a456e8d2c81,False,1.75,2.00,1.00,3.00,,1.00,,0,0,2026-03-24 05:43:59.229869+00:00,
c058170f-6e50-411e-8cfb-5c7d4e046483,c97f201f-1218-4512-8d94-b9e70e67fd63,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.229869+00:00,
8f0ef352-c740-41fe-831b-ad40be4e2964,cf4ca283-6bdb-4626-882d-92cb4b0cde02,False,1.13,2.00,1.00,1.00,,2.00,,0,0,2026-03-24 05:43:59.229870+00:00,
e3b93424-958c-44b4-b463-70779003f668,b25d84f7-838a-443f-a58c-5c57ec29758d,False,1.50,1.00,1.00,1.00,,3.00,,0,0,2026-03-24 05:43:59.229870+00:00,
19e87b1a-75e2-4030-b049-a9c0ffea69a6,b4fd50a0-aea1-4437-bc89-5007d376b581,False,4.50,5.00,5.00,4.00,,4.00,,0,0,2026-03-24 05:43:59.229871+00:00,
a3de175a-b01e-474e-abc6-d1d0f02efdf5,15386550-2a17-4615-a48b-a8045f8f165c,False,4.25,4.00,5.00,4.00,,4.00,,0,0,2026-03-24 05:43:59.229871+00:00,
b50fb293-9969-482d-ae0d-54e9367fd9c6,61bc715a-f0aa-41d1-9d39-6be1df4a1218,False,4.73,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.229872+00:00,
6c36361f-3488-499d-ab83-e621ed008e88,9d979030-d443-484a-b06b-76963d2768c2,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.229872+00:00,
bb43d395-abf4-4b48-8162-91e5b72c9bce,5a50006a-0bb5-4d3c-b66d-3a6b09a8188a,False,2.25,1.00,1.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.229873+00:00,
ae5fa85c-93f7-49c6-8565-2b1d3376e1af,e126fc84-9205-42b2-b545-e2abec0d0fa4,False,2.00,1.00,3.00,3.00,,1.00,,0,0,2026-03-24 05:43:59.229873+00:00,
ec2ebb80-bcce-4360-9548-f3f48e92a149,85fa49df-40db-4db0-9899-84b61dcb5298,False,1.50,2.00,1.00,1.00,,2.00,,0,0,2026-03-24 05:43:59.229874+00:00,
f618bd8c-78cc-48c4-8f5f-352cb41a7763,bb24a0d5-fd76-4c27-8d29-d1edbe7f4ddf,False,4.25,4.00,5.00,5.00,,3.00,,0,0,2026-03-24 05:43:59.229874+00:00,
3ec4553c-da08-498f-8f00-421f2bd9f35e,19a96874-53b6-4c57-a62e-3f18b131b38e,False,4.55,5.00,5.00,5.00,,3.00,,0,0,2026-03-24 05:43:59.229875+00:00,
ec703df7-edfb-4746-87d0-f08ece0b2db4,40e842fb-b15b-4ae4-973e-749a57353c5f,False,1.33,,2.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.233042+00:00,
fbd351dd-bee3-457d-81df-234adff7c42e,96f8ab6f-f34b-4de8-90c6-7c0cc7e5dd08,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.233578+00:00,
1a50b9eb-2fdd-46b8-abc7-867cc5bce7ce,79820e94-ff43-4b95-8d43-2dacba821a16,False,1.00,1.00,1.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.233578+00:00,
a64ad7cb-31f1-4d2b-aca5-8b55f32b1d73,f91875e5-184b-4eaf-8e1a-8d83adf747d3,False,1.08,1.00,1.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.233579+00:00,
bfa83ade-55cf-4252-9564-25be0e6dd9c9,4f28f1b0-d25f-4391-856b-a4054d2ec521,False,1.08,1.00,1.00,1.00,,2.00,,0,0,2026-03-24 05:43:59.233579+00:00,
0edc02a9-bb1f-4127-9fd5-da80dc6e2738,1fc83093-4165-4810-a0b6-901845fbbb7d,False,2.30,4.00,3.00,3.00,,4.00,,0,0,2026-03-24 05:43:59.233580+00:00,
011740b7-74df-4869-b47d-55139c946960,eec2593a-ba69-47d2-8ab8-24024eeec36c,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.233580+00:00,
7b0994c5-08d0-457f-bd35-4f2141ddcb85,8f9457e3-7857-4186-8ea9-6bdfe3e91a10,False,3.37,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.233581+00:00,
fd5c8ecc-e70e-4ddb-a406-671534580ee0,96a69b21-e47d-4a1f-a244-edfa14467395,False,1.00,1.00,1.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.233581+00:00,
866c55b7-26ab-49c1-a9fa-7db06b8ebac3,808abb32-1b17-4350-b7b4-0c4a82433d04,False,4.50,5.00,5.00,5.00,,3.00,,0,0,2026-03-24 05:43:59.233582+00:00,
dce3ca00-1f6e-422d-bc24-022e98976511,ca5a4f2a-be40-496a-a96e-31783f219ddc,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.233582+00:00,
a2470e1a-9b84-4b1b-bee2-d2e9133918ee,8c3770de-7d9e-450a-b420-04f169430ef2,False,2.38,2.00,1.00,2.00,,5.00,,0,0,2026-03-24 05:43:59.233583+00:00,
d095bbab-882f-4f5f-9650-5acb233a24bc,84647b33-50ab-41fc-b3db-bea67cae3475,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.233583+00:00,
684f1f51-f452-4aea-b856-cadff7497732,9094f9fd-0f8a-47b6-88ce-ed678d0e1877,False,1.00,1.00,1.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.233584+00:00,
fc07d194-dd59-4d9e-bfe4-bfca6b278cd9,73978ab1-fe7e-4b83-86a1-6d18ca2b4899,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.233584+00:00,
7398b926-6ffb-4c31-ae13-1a74b23596ba,9ec16021-f81b-4ab1-9c00-2e555606580f,False,4.85,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.233585+00:00,
8278c159-90d7-414e-b336-240b40edcbec,e4e05e31-eab3-4d31-b58c-0e4d76691296,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.233585+00:00,
e52bd4b0-8796-4ad3-82fd-77603927a8a7,b25d0753-223a-4014-b613-9f69caf9c92e,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.233586+00:00,
de18b69b-aee3-4635-82d8-2a1714100f66,a4e95793-1669-4d49-af8d-4af281763048,False,2.00,3.00,1.00,,,2.00,,0,0,2026-03-24 05:43:59.235451+00:00,
787e5cb6-a9f2-42e9-ba0f-1d5eb9c6a5fa,d4c84c6d-3937-4e88-94d4-3c402bf1e477,False,4.50,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.236050+00:00,
b6faff3c-afe4-4fe3-a532-78cb792839e3,6b217deb-0b6b-4d85-827b-0fd712f501e1,False,4.75,4.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.236052+00:00,
d8fdd155-755d-48bc-a75e-2e13afb8175c,bcf49661-b619-4dd4-adba-6c64e88a8471,False,4.00,4.00,5.00,3.00,,4.00,,0,0,2026-03-24 05:43:59.236052+00:00,
7c98c0b4-e1ee-4857-b959-b64ae1d9c06c,29d068b6-6b2a-4aec-916a-4eef1cf99036,False,4.00,4.00,4.00,4.00,,4.00,,0,0,2026-03-24 05:43:59.236053+00:00,
dd7167d4-981b-41da-9bc3-1b0263ce8b71,342f48d3-867e-4070-9192-3799a16ddc59,False,1.00,1.00,1.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.236053+00:00,
